iter	Logloss
0	0.6293674984
1	0.5504643536
2	0.4907281133
3	0.4424700579
4	0.4145096118
5	0.3790396134
6	0.3377974934
7	0.3070663068
8	0.2749656945
9	0.2568259366
10	0.2368880722
11	0.2222376705
12	0.2071409779
13	0.1946399279
14	0.1815917833
15	0.1717968487
16	0.1582991649
17	0.152032552
18	0.1456983134
19	0.1407262217
20	0.1362762111
21	0.1297578201
22	0.1263378281
23	0.1228523688
24	0.1205432604
25	0.1155248474
26	0.1131939682
27	0.1089363705
28	0.106596664
29	0.1050955278
30	0.1008106472
31	0.09797471144
32	0.09571861049
33	0.09430375778
34	0.09247026845
35	0.09118229541
36	0.09028570472
37	0.08942529354
38	0.08767117728
39	0.08715907432
40	0.08651224064
41	0.08607249668
42	0.08519656276
43	0.08364533067
44	0.0831762314
45	0.08287107485
46	0.08251444256
47	0.08221599988
48	0.08109239645
49	0.08020836434
50	0.07959769904
51	0.07935211237
52	0.07896879116
53	0.0784102388
54	0.07812990126
55	0.07758310197
56	0.0772290202
57	0.07676798551
58	0.07661223652
59	0.07646635309
60	0.07619611521
61	0.07581732747
62	0.07556706999
63	0.07546523988
64	0.07535852015
65	0.07500918185
66	0.07472880211
67	0.07446661019
68	0.07438954302
69	0.07431275539
70	0.07407842112
71	0.07394882292
72	0.07379355628
73	0.07359689635
74	0.07350712709
75	0.07343690365
76	0.07329947799
77	0.07315369436
78	0.07300234291
79	0.07285421603
80	0.07275184244
81	0.07260772284
82	0.07255587071
83	0.07244928691
84	0.07233232279
85	0.07224189133
86	0.07215883412
87	0.07208998821
88	0.07203794636
89	0.07196363922
90	0.07191106882
91	0.07180707267
92	0.07171449562
93	0.07162180092
94	0.07153302434
95	0.07147194977
96	0.0714112782
97	0.07135817909
98	0.07130081639
99	0.07125559175
100	0.07119530952
101	0.07112349389
102	0.07106466221
103	0.07099717713
104	0.07096643842
105	0.07089815648
106	0.07085330666
107	0.07079566807
108	0.07073706203
109	0.07067087943
110	0.07061607853
111	0.07056118508
112	0.07051375129
113	0.07045097725
114	0.07038724958
115	0.07034004872
116	0.07029712052
117	0.07024036946
118	0.07020215726
119	0.07014927494
120	0.0701053918
121	0.07006180105
122	0.07001161059
123	0.06994787639
124	0.06989104285
125	0.06983978794
126	0.06979455086
127	0.06974216663
128	0.06969276507
129	0.06965336718
130	0.06960743571
131	0.06958143349
132	0.06955479108
133	0.0695089717
134	0.06946832942
135	0.06940926815
136	0.06936996494
137	0.06933241529
138	0.06929699448
139	0.06923667506
140	0.06918739395
141	0.06912425434
142	0.06908839915
143	0.06904589678
144	0.06898616052
145	0.06894895593
146	0.06890410961
147	0.06886162161
148	0.06881557168
149	0.06876207392
150	0.06872535417
151	0.06868132469
152	0.0686371812
153	0.0685998115
154	0.06856014363
155	0.06851688808
156	0.06847934086
157	0.06845020269
158	0.06840824785
159	0.06837789129
160	0.06833679165
161	0.06829902436
162	0.06825958973
163	0.06822122147
164	0.06818853583
165	0.06815163133
166	0.06812070745
167	0.06808365402
168	0.06803784132
169	0.06799826778
170	0.06796113465
171	0.06792505291
172	0.06788860025
173	0.06784952941
174	0.06780848943
175	0.06777694268
176	0.0677438888
177	0.06769887153
178	0.06766546819
179	0.06762605684
180	0.06759443301
181	0.06756481825
182	0.06749441198
183	0.0674568976
184	0.0674099694
185	0.06737243113
186	0.0673390628
187	0.06730021872
188	0.06726315582
189	0.06723129498
190	0.06720108456
191	0.06717418989
192	0.06714371437
193	0.06709402488
194	0.06705961695
195	0.06702261372
196	0.06699204174
197	0.06696751001
198	0.06693314464
199	0.06687768948
200	0.06683317228
201	0.06680035872
202	0.0667712212
203	0.06672142054
204	0.06669133785
205	0.06665832713
206	0.06663990734
207	0.06660408429
208	0.06656055821
209	0.06652530793
210	0.0664981143
211	0.06648016811
212	0.0664335039
213	0.06638639327
214	0.06635796592
215	0.06632307013
216	0.06627243091
217	0.06624094569
218	0.06621260452
219	0.06618033014
220	0.06615098869
221	0.06611248112
222	0.06605351863
223	0.066020741
224	0.06599466008
225	0.06596157428
226	0.06592926543
227	0.06589818874
228	0.06587571479
229	0.06584346222
230	0.06580642443
231	0.06576588335
232	0.06573937013
233	0.06570267088
234	0.06568229653
235	0.06563981997
236	0.06560644015
237	0.0655883042
238	0.06555738245
239	0.06552762509
240	0.06550012317
241	0.06546985188
242	0.06543334138
243	0.06539410673
244	0.06537624196
245	0.06534716532
246	0.06531231335
247	0.06529615043
248	0.06527308376
249	0.06524615423
250	0.06521357653
251	0.0651781204
252	0.06513750215
253	0.06511489578
254	0.06508975169
255	0.0650622135
256	0.06503497336
257	0.0650064778
258	0.06497107652
259	0.06494913154
260	0.06489835883
261	0.06487316252
262	0.06484508585
263	0.06478678308
264	0.06474088193
265	0.06470416952
266	0.06463798722
267	0.06460266453
268	0.06457735295
269	0.06455709787
270	0.06452733438
271	0.0645074144
272	0.06448243629
273	0.06445712744
274	0.06442772207
275	0.06440365159
276	0.06437466775
277	0.06433489256
278	0.06428438583
279	0.06426376736
280	0.06424491709
281	0.064197563
282	0.06417034078
283	0.06412634505
284	0.064106973
285	0.06406931496
286	0.0640322211
287	0.06399721853
288	0.06397027397
289	0.06393737686
290	0.06390219227
291	0.06387307752
292	0.06384548887
293	0.06382713917
294	0.06379826105
295	0.0637527591
296	0.06373186288
297	0.06370765369
298	0.06367241591
299	0.06364663088
300	0.06362047674
301	0.06359328118
302	0.06354188403
303	0.06351887419
304	0.06349166472
305	0.06347197195
306	0.06344313294
307	0.06341102429
308	0.06337270784
309	0.0633587444
310	0.06332631857
311	0.06329962176
312	0.06326556583
313	0.06322785253
314	0.06318504517
315	0.06315440625
316	0.06313139671
317	0.06308110337
318	0.06305774797
319	0.06303466284
320	0.06300644109
321	0.0629835736
322	0.06296485738
323	0.06292958772
324	0.06290170153
325	0.06287540656
326	0.06285001497
327	0.06282029202
328	0.06277689007
329	0.0627519111
330	0.06272429387
331	0.06270971453
332	0.06266526539
333	0.06264318722
334	0.06262519913
335	0.06259887213
336	0.06257104297
337	0.06255520563
338	0.06253542182
339	0.06251451856
340	0.06248562768
341	0.06244517365
342	0.06242047446
343	0.06238166666
344	0.06235187701
345	0.06232221408
346	0.06229655985
347	0.06225985048
348	0.06224657251
349	0.06221049831
350	0.06216785445
351	0.06212306627
352	0.06208093194
353	0.06205293751
354	0.06203410798
355	0.0620205645
356	0.06199156468
357	0.06195385902
358	0.0619175822
359	0.06187140004
360	0.06183389543
361	0.06179973556
362	0.06176319874
363	0.06173700099
364	0.06171051702
365	0.06168182167
366	0.06166352115
367	0.0616316727
368	0.06160062318
369	0.06158397138
370	0.0615621441
371	0.06152978055
372	0.06151092815
373	0.06149272181
374	0.06146229041
375	0.0614410228
376	0.06142806339
377	0.06140979556
378	0.06138327541
379	0.06134763073
380	0.06132455354
381	0.0612950242
382	0.06127817975
383	0.06126180779
384	0.06122125907
385	0.0611890989
386	0.06116883375
387	0.06113518361
388	0.06110870369
389	0.0610828217
390	0.06105442249
391	0.06102978863
392	0.06100636122
393	0.06098227823
394	0.06095572873
395	0.0609239491
396	0.06090963164
397	0.06087933176
398	0.06085891839
399	0.06082627486
